>>>> IterationI 0
Independent Set 0 :  LUT
Site 45 | (61, 119, 0) -> (59, 122, 4) | Instance:0
Site 46 | (61, 119, 2) -> (61, 120, 8) | Instance:0
Site 47 | (64, 121, 0) -> (60, 122, 8) | Instance:0
Site 48 | (64, 121, 2) -> (59, 123, 0) | Instance:0
Total Cost: -64
Independent Set 2 :  LUT
Site 0 | (68, 114, 0) -> (67, 112, 2) | Instance:0
Site 1 | (68, 114, 2) -> (71, 114, 2) | Instance:0
Site 2 | (68, 114, 8) -> (68, 114, 12) | Instance:188
Site 3 | (68, 114, 12) -> (69, 115, 0) | Instance:2887
Site 4 | (69, 114, 0) -> (67, 116, 0) | Instance:0
Site 5 | (69, 114, 2) -> (67, 113, 0) | Instance:0
Site 6 | (68, 115, 0) -> (68, 114, 2) | Instance:0
Site 7 | (68, 115, 2) -> (67, 114, 0) | Instance:0
Site 8 | (67, 114, 0) -> (69, 114, 0) | Instance:0
Site 9 | (67, 114, 2) -> (69, 116, 4) | Instance:0
Site 10 | (68, 113, 0) -> (71, 115, 2) | Instance:0
Site 11 | (68, 113, 2) -> (69, 113, 0) | Instance:0
Site 12 | (69, 115, 0) -> (67, 114, 2) | Instance:0
Site 13 | (69, 115, 2) -> (68, 112, 0) | Instance:0
Site 14 | (68, 116, 0) -> (67, 115, 14) | Instance:0
Site 15 | (68, 116, 2) -> (72, 114, 0) | Instance:0
Site 16 | (67, 115, 0) -> (66, 114, 0) | Instance:311
Site 17 | (67, 115, 14) -> (66, 115, 0) | Instance:0
Site 18 | (66, 114, 0) -> (66, 113, 0) | Instance:439
Site 19 | (67, 113, 0) -> (66, 115, 2) | Instance:0
Site 20 | (67, 113, 2) -> (68, 112, 2) | Instance:0
Site 21 | (68, 112, 0) -> (72, 114, 2) | Instance:0
Site 22 | (68, 112, 2) -> (67, 113, 2) | Instance:0
Site 23 | (69, 113, 0) -> (71, 115, 0) | Instance:0
Site 24 | (69, 113, 2) -> (68, 115, 2) | Instance:0
Site 25 | (71, 114, 0) -> (66, 113, 2) | Instance:0
Site 26 | (71, 114, 2) -> (71, 114, 0) | Instance:0
Site 27 | (69, 116, 2) -> (69, 116, 2) | Instance:1358
Site 28 | (69, 116, 4) -> (68, 117, 14) | Instance:1966
Site 29 | (69, 116, 6) -> (68, 114, 8) | Instance:0
Site 30 | (69, 116, 8) -> (69, 116, 8) | Instance:2883
Site 31 | (69, 116, 10) -> (68, 114, 0) | Instance:0
Site 32 | (68, 117, 14) -> (68, 116, 2) | Instance:0
Site 33 | (67, 116, 0) -> (68, 115, 0) | Instance:0
Site 34 | (67, 116, 2) -> (69, 116, 10) | Instance:0
Site 35 | (66, 115, 0) -> (69, 115, 2) | Instance:0
Site 36 | (66, 115, 2) -> (69, 116, 6) | Instance:0
Site 37 | (66, 113, 0) -> (68, 113, 0) | Instance:0
Site 38 | (66, 113, 2) -> (68, 111, 2) | Instance:0
Site 39 | (67, 112, 0) -> (69, 114, 2) | Instance:0
Site 40 | (67, 112, 2) -> (69, 112, 0) | Instance:0
Site 41 | (68, 111, 0) -> (68, 113, 2) | Instance:0
Site 42 | (68, 111, 2) -> (67, 116, 2) | Instance:0
Site 43 | (69, 112, 0) -> (69, 113, 2) | Instance:0
Site 44 | (69, 112, 2) -> (67, 112, 0) | Instance:0
Site 45 | (72, 114, 0) -> (68, 116, 0) | Instance:0
Site 46 | (72, 114, 2) -> (68, 111, 0) | Instance:0
Site 47 | (71, 115, 0) -> (67, 115, 0) | Instance:0
Site 48 | (71, 115, 2) -> (69, 112, 2) | Instance:0
Total Cost: -6
Independent Set 3 :  LUT
Site 0 | (72, 158, 0) -> (76, 158, 2) | Instance:190
Site 1 | (72, 158, 2) -> (74, 158, 14) | Instance:726
Site 2 | (72, 158, 4) -> (72, 155, 0) | Instance:192
Site 3 | (72, 158, 6) -> (71, 160, 2) | Instance:0
Site 4 | (72, 159, 0) -> (72, 158, 6) | Instance:2845
Site 5 | (72, 159, 2) -> (69, 158, 0) | Instance:0
Site 6 | (72, 159, 4) -> (72, 158, 4) | Instance:0
Site 7 | (71, 158, 0) -> (74, 157, 0) | Instance:0
Site 8 | (71, 158, 2) -> (72, 158, 2) | Instance:0
Site 9 | (72, 157, 0) -> (71, 160, 0) | Instance:0
Site 10 | (72, 157, 2) -> (72, 157, 0) | Instance:0
Site 11 | (74, 158, 8) -> (74, 158, 8) | Instance:2873
Site 12 | (74, 158, 14) -> (71, 159, 0) | Instance:0
Site 13 | (72, 160, 0) -> (71, 156, 2) | Instance:0
Site 14 | (72, 160, 2) -> (72, 160, 0) | Instance:0
Site 15 | (71, 159, 0) -> (75, 159, 2) | Instance:0
Site 16 | (71, 159, 2) -> (72, 159, 2) | Instance:0
Site 17 | (71, 157, 0) -> (74, 160, 0) | Instance:0
